X,Y,osm_id,code,fclass,name
-71.0019131,42.1999602,34665463,6101,rail,Plymouth Branch
-71.0018258,42.1998021,34665463,6101,rail,Plymouth Branch
-71.0017417,42.1996673,34665463,6101,rail,Plymouth Branch
-71.0016588,42.1995394,34665463,6101,rail,Plymouth Branch
-71.0015758,42.1994218,34665463,6101,rail,Plymouth Branch
-71.001483,42.1992967,34665463,6101,rail,Plymouth Branch
-71.0013912,42.1991822,34665463,6101,rail,Plymouth Branch
-71.0012887,42.1990625,34665463,6101,rail,Plymouth Branch
-71.0011821,42.1989422,34665463,6101,rail,Plymouth Branch
-71.0010707,42.1988286,34665463,6101,rail,Plymouth Branch
-71.0009604,42.1987159,34665463,6101,rail,Plymouth Branch
-71.0008435,42.1986087,34665463,6101,rail,Plymouth Branch
-71.0007246,42.1985053,34665463,6101,rail,Plymouth Branch
-71.0005849,42.1983892,34665463,6101,rail,Plymouth Branch
-71.0004441,42.1982774,34665463,6101,rail,Plymouth Branch
-71.000303,42.1981725,34665463,6101,rail,Plymouth Branch
-71.0001627,42.1980741,34665463,6101,rail,Plymouth Branch
-71.0000146,42.1979772,34665463,6101,rail,Plymouth Branch
-70.9998699,42.1978901,34665463,6101,rail,Plymouth Branch
-70.99973,42.1978058,34665463,6101,rail,Plymouth Branch
-70.9995927,42.1977287,34665463,6101,rail,Plymouth Branch
-70.9994262,42.1976404,34665463,6101,rail,Plymouth Branch
-70.9992592,42.1975569,34665463,6101,rail,Plymouth Branch
-70.9990882,42.1974763,34665463,6101,rail,Plymouth Branch
-70.9989003,42.1973908,34665463,6101,rail,Plymouth Branch
-70.9986947,42.1973037,34665463,6101,rail,Plymouth Branch
-70.9985074,42.1972239,34665463,6101,rail,Plymouth Branch
-70.9983039,42.1971436,34665463,6101,rail,Plymouth Branch
-70.9981148,42.1970711,34665463,6101,rail,Plymouth Branch
-70.9978971,42.1969904,34665463,6101,rail,Plymouth Branch
-70.9976617,42.1969083,34665463,6101,rail,Plymouth Branch
-70.9974297,42.1968304,34665463,6101,rail,Plymouth Branch
-70.9905751,42.1946799,34665463,6101,rail,Plymouth Branch
-70.9902951,42.1945895,34665463,6101,rail,Plymouth Branch
-70.9900411,42.1945073,34665463,6101,rail,Plymouth Branch
-70.9897889,42.1944221,34665463,6101,rail,Plymouth Branch
-70.9895492,42.1943357,34665463,6101,rail,Plymouth Branch
-70.9893472,42.1942548,34665463,6101,rail,Plymouth Branch
-70.9891597,42.1941762,34665463,6101,rail,Plymouth Branch
-70.9889741,42.1940918,34665463,6101,rail,Plymouth Branch
-70.9887893,42.1940023,34665463,6101,rail,Plymouth Branch
-70.9886089,42.1939079,34665463,6101,rail,Plymouth Branch
-70.9884528,42.1938207,34665463,6101,rail,Plymouth Branch
-70.9883005,42.1937322,34665463,6101,rail,Plymouth Branch
-70.988148,42.1936369,34665463,6101,rail,Plymouth Branch
-70.9880056,42.1935465,34665463,6101,rail,Plymouth Branch
-70.9878722,42.1934549,34665463,6101,rail,Plymouth Branch
-70.9877454,42.1933646,34665463,6101,rail,Plymouth Branch
-70.9876175,42.1932639,34665463,6101,rail,Plymouth Branch
-70.9874946,42.1931683,34665463,6101,rail,Plymouth Branch
-70.9873573,42.1930519,34665463,6101,rail,Plymouth Branch
-70.987222,42.1929298,34665463,6101,rail,Plymouth Branch
-70.9871121,42.192824,34665463,6101,rail,Plymouth Branch
-70.986996,42.1927107,34665463,6101,rail,Plymouth Branch
-70.9868789,42.1925822,34665463,6101,rail,Plymouth Branch
-70.9867521,42.1924415,34665463,6101,rail,Plymouth Branch
-70.9866387,42.1923075,34665463,6101,rail,Plymouth Branch
